domain,category,original_index,title,year,venue,task,method,signals,note,impact,status,resolved_title,resolved_year,doi,oa_pdf_url,source,local_pdf,error
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,67,RoboCook: Long-Horizon Elasto-Plastic Object Manipulation with Diverse Tools,2023,CoRL · Best Systems Paper,"dough / elasto-plastic
rolling、cutting、shaping、tool use",GNN tool-object dynamics + self-supervised policy learning,Point cloud + tool state,长时序、多工具、材料变化；只需少量真实交互即可学习多工具 soft-object 操作。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,68,DexDeform: Dexterous Deformable Object Manipulation with Human Demonstrations and Differentiable Physics,2023,ICLR,"elasto-plastic / soft body
dexterous shaping / manipulation",Human demonstrations + differentiable physics + trajectory refinement,State / demonstration trajectories,learning + differentiable physics + dexterous hand 的代表性组合；强调 unseen goals。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,69,DoughNet: A Visual Predictive Model for Topological Manipulation of Deformable Objects,2024,ECCV,"dough / clay-like objects
merge、split、topology-changing manipulation",Transformer visual predictive model for geometry + topology,Visual 3D observations,非常重要的“拓扑变化” DOM：不只预测形状，还预测 split / merge 等 topology。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,70,SoftGPT: Learn Goal-Oriented Soft Object Manipulation Skills by Generative Pre-Trained Heterogeneous Graph Transformer,2023,IROS,"generic soft objects
goal-oriented soft-object manipulation",Heterogeneous graph + GPT-style dynamics model + goal policy,3D graph / geometry,用生成式 transformer 学 soft-object dynamics；适合 world-model / predictive-control 方向。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,71,Manipulating Elasto-Plastic Objects With 3D Occupancy and Learning-Based Predictive Control,2025,IEEE RA-L,"elasto-plastic
shape control / predictive manipulation",3D occupancy + learned CNN/GNN dynamics + MPC,Multi-view RGB-D / occupancy,把物体表示从粒子/point cloud 推到 occupancy，并用 learned predictive control 闭环操作。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,72,ACID: Action-Conditional Implicit Visual Dynamics for Deformable Object Manipulation,2024,IJRR (RSS 2022 origin),"volumetric soft objects：plush toys / pizza dough
goal-conditioned shaping",Implicit occupancy + flow dynamics + geodesic contrastive representation + planning,Partial RGB-D + robot action,非常重要：真正面向 3D volumetric deformables，而非 cloth/rope；含 6 类 plush、78 variants benchmark。,"高引用
核心",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,73,"Learning Active Manipulation to Target Shapes with Model-Free, Long-Horizon Deep Reinforcement Learning",2024,ICRA,"elongated volumetric elasto-plastic object
long-horizon shaping",PPO model-free RL + segmentation-based sim-to-real,Segmented RGB-D observations,纯 model-free 长时 shaping，zero-shot sim-to-real 到未见目标形状；补充 world-model 之外的路线。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,74,RoPotter: Toward Robotic Pottery and Deformable Object Manipulation with Structural Priors,2024,Humanoids,"clay
continuous pottery / long-horizon shaping",Behavior cloning + reduced state representation + mechanics/structural priors,Vision / recovered clay cross-section,Humanoids Best Oral Paper Finalist；利用结构先验降低 3D soft-body skill learning 难度。,"近期
获奖",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,75,DefGraspSim: Physics-Based Simulation of Grasp Outcomes on 3D Deformable Objects,2022,IEEE RA-L,"3D deformable objects
grasping / deformation & stress prediction",GPU FEM simulation + large simulated grasp dataset,"3D mesh, material elasticity, grasp parameters",34 个对象、6800 grasps / 1.1M measurements；是 3D deformable grasp learning/simulation 的重要数据基础。,"高影响
数据/仿真",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,76,DeformerNet: Learning Bimanual Manipulation of 3D Deformable Objects,2023,Preprint / open research,"3D elastic objects / tissue-like objects
shape servoing、retraction、wrapping",Point-cloud embedding + learned bimanual visual-servo controller,Current partial point cloud + goal point cloud,虽未以正式顶会版本计入，但在“真正 3D elastic DOM”稀疏类别中很有代表性；跨形状/刚度泛化。,"补充
前沿",PENDING_OA_LOOKUP,,,,,,,
DOM,F. Food：食物、切割与软材料处理（5 篇）,77,RoboNinja: Learning an Adaptive Cutting Policy for Multi-Material Objects,2023,RSS,"food-like multi-material objects
adaptive cutting around hard core",Differentiable cutting simulator + learned adaptive policy,Force/collision feedback + state estimate,典型“交互后在线更新内部结构估计”的 food/soft manipulation；兼具 sim、learning 和 feedback。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,F. Food：食物、切割与软材料处理（5 篇）,78,SliceIt! – A Dual Simulator Framework for Learning Robot Food Slicing,2024,ICRA,"food
knife slicing",Dual-simulator real2sim2real + RL compliant control,Force / robot state / simulated food,专门针对 slicing 的 learning pipeline；代表 food manipulation 中较成熟的 contact-rich 学习路线。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,F. Food：食物、切割与软材料处理（5 篇）,79,SCONE: A Food Scooping Robot Learning Framework with Active Perception,2023,CoRL,"diverse food / granular-soft mixtures
scooping",Active perception + learned state encoder / action selection,Vision + probing/scooping interaction,把“先交互了解食物状态，再决定 scooping”显式纳入框架；适合 interactive perception。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,F. Food：食物、切割与软材料处理（5 篇）,80,DiSECt: A Differentiable Simulator for Parameter Inference and Control in Robotic Cutting,2023,Autonomous Robots (RSS 2021 origin),"fruit / soft food
cutting / slicing",Differentiable FEM + contact/damage model + parameter inference + control optimization,Force measurements + simulator parameters,软材料 cutting 的 differentiable physics 代表；可反演材料/接触参数并优化切割动作降低刀力。,"高影响
经典",PENDING_OA_LOOKUP,,,,,,,
DOM,F. Food：食物、切割与软材料处理（5 篇）,81,GRITS: A Spillage-Aware Guided Diffusion Policy for Robot Food Scooping Tasks,2026,ICRA,"diverse foods
scooping + transfer with spill avoidance",Diffusion policy guided by differentiable spillage predictor,Vision/state + predicted spillage risk,ICRA 2026 Robot Learning Best Paper Finalist；把“物理失败风险”作为 diffusion guidance。,"前沿
获奖 Finalist",PENDING_OA_LOOKUP,,,,,,,
DOM,G. Granular：颗粒与散体材料（6 篇）,82,Dynamic-Resolution Model Learning for Object Pile Manipulation,2023,RSS,"granular piles
gathering、sorting、redistribution",GNN learned dynamics + dynamic particle resolution + MPC,RGB-D / particle representation,颗粒堆 learned dynamics 的代表作；动态改变粒子分辨率兼顾精度与计算。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,G. Granular：颗粒与散体材料（6 篇）,83,Few-shot Adaptation for Manipulating Granular Materials Under Domain Shift,2023,RSS,"granular materials
scooping / quantity control under material shift",Meta-learning / Gaussian-process-style few-shot adaptation + Bayesian optimization,Interaction outcomes + material/domain features,直接研究 new granular material 的 few-shot adaptation；对跨材料 generalization 很有参考价值。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,G. Granular：颗粒与散体材料（6 篇）,84,Neural Field Dynamics Model for Granular Object Piles Manipulation,2023,CoRL,"granular piles
pile shaping / pushing",Neural density field dynamics + differentiable action rendering + trajectory optimization,Continuous density field,不把颗粒逐粒表示，而学习连续 density field；代表另一条 scalable representation 路线。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,G. Granular：颗粒与散体材料（6 篇）,85,Manipulation of Granular Materials by Learning Particle Interactions,2022,IEEE RA-L,"sand / rice-like granular materials
pouring to target distribution",GNN particle interaction dynamics + Wasserstein-distance planning,Particle graph + rigid manipulator state,高引用 granular learning 基线；显式建模粒子交互，并在仿真与真实 pouring 中验证。,"高引用
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,G. Granular：颗粒与散体材料（6 篇）,86,A Learning Framework for Enabling Robots to Autonomously Dispense Granular Material On-Demand,2024,ASME IDETC/CIE,"granular material
scooping + pouring requested amount",Gaussian Process Regression for behavior prediction and inverse task-parameter selection,Robot kinematics / end-effector geometry / amount measurements,从“形状重排”扩展到精确定量 dispensing；体现 granular manipulation 的工业/实验室实用性。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,G. Granular：颗粒与散体材料（6 篇）,87,A Physics-Informed Demonstration-Guided Learning Framework for Granular Material Manipulation,2026,IEEE TNNLS (online 2025),"granular transport
policy learning and sim-to-real",Differentiable granular physics + optimization-generated demonstrations + RL,Physics simulator state + demonstrations,最新 physics-informed granular RL；示教由可微物理优化生成，减少昂贵真实数据与盲目探索。,"前沿
期刊",PENDING_OA_LOOKUP,,,,,,,
DOM,H. Paper / Non-cloth Sheet：纸张与非布薄片（1 篇）,88,Learning Neural Force Manifolds for Sim2Real Robotic Symmetrical Paper Folding,2024,IEEE T-ASE,"paper / non-cloth flexible sheet
symmetrical folding",Simulation-generated neural force manifold + planning / MPC,Geometry + predicted forces,少数高质量 learning-based paper manipulation；很好地结合力学、learning 和 sim2real。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,I. Soft Tissue：软组织 / surgical DOM（5 篇）,89,Sim-to-Real Surgical Robot Learning and Autonomous Planning for Internal Tissue Points Manipulation Using Reinforcement Learning,2023,IEEE RA-L,"soft tissue
internal tissue point positioning / deformation",FEM simulation + deep RL + domain randomization / optimization,Tissue geometry / simulated physical state,soft tissue learning 的代表性 sim2real 路线；但 surgical robotics 已形成独立子社区。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,I. Soft Tissue：软组织 / surgical DOM（5 篇）,90,Autonomous Tissue Manipulation via Surgical Robot Using Deep Reinforcement Learning and Evolutionary Algorithm,2023,IEEE T-MRB,"soft tissue
tensioning for autonomous cutting",Deep RL tensioning policy + evolutionary search for action sequence,Tissue state / surgical robot action,把 soft-tissue tensioning 作为可学习策略并服务于切割质量，是 surgical DOM 的明确 learning 工作。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,I. Soft Tissue：软组织 / surgical DOM（5 篇）,91,SurgEM: A Vision-Based Surgery Environment Modeling Framework for Constructing a Digital Twin Toward Autonomous Soft Tissue Manipulation,2024,IEEE RA-L,"soft tissue
deformation modeling / digital twin",Vision-based tissue environment modeling + digital twin construction,Surgical vision / tissue geometry,不直接学习 policy，而是补齐 autonomous tissue manipulation 的 environment/world model；适合和 DOM world model 对照。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,I. Soft Tissue：软组织 / surgical DOM（5 篇）,92,Autonomous Countertraction for Secure Field of View in Laparoscopic Surgery Using Deep Reinforcement Learning,2025,Int. J. CARS (online 2024),"soft tissue
countertraction / flattening for surgical visibility",Point-cloud CNN + deep RL,Tissue surface point cloud + forceps position,真实 phantom 验证的 RL countertraction；目标同时包含 tissue planarity 和 camera visibility。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,I. Soft Tissue：软组织 / surgical DOM（5 篇）,93,Intuition-Guided Reinforcement Learning for Soft Tissue Manipulation with Unknown Constraints,2025,Cyborg and Bionic Systems,"soft tissue
shape manipulation with obstacles / unknown constraints",Intuition-guided SAC + autonomous grasp-point selection network,Tissue state / obstacle & constraint information,少数明确研究“unknown constraints”的 tissue DOM；把抓点选择和 constrained deformation policy 联合考虑。,"前沿
未知约束",PENDING_OA_LOOKUP,,,,,,,
DOM,J. Plant：叶片、枝叶与植物操作（3 篇）,94,Safe Leaf Manipulation for Accurate Shape and Pose Estimation of Occluded Fruits,2025,ICRA,"leaf / plant
move leaves to reveal fruit; active perception",Perception-driven deformation graph + planning,Vision / leaf geometry,learning成分不是纯 policy，但它是近年少数把叶片作为 deformable object 主动操作的正式工作。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,J. Plant：叶片、枝叶与植物操作（3 篇）,95,Find the Fruit: Zero-Shot Sim2Real RL for Occlusion-Aware Plant Manipulation,2026,ICRA,"leaf + stem / plant
reposition foliage to expose fruit",Simulation RL + zero-shot sim2real + compliant control,Visual/kinematic state + randomized plant properties,非常新的 plant DOM：跨 stiffness、morphology 泛化；说明 learning-based plant manipulation 才刚开始形成。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,J. Plant：叶片、枝叶与植物操作（3 篇）,96,Robotic System with Tactile-Enabled Leaf Tracking for High-Resolution Hyperspectral Imaging Device for Autonomous Corn Leaf Phenotyping,2025,Smart Agricultural Technology,"corn leaf
detect → grasp → in-hand align → tactile tracking / scan",SAM-based visual detection + vision-based tactile active tracking,RGB-D + tactile + hyperspectral sensing,把 leaf 当作可变形操作对象并进行持续触觉跟踪；说明 plant DOM 开始出现多模态闭环系统。,"前沿
应用",PENDING_OA_LOOKUP,,,,,,,
DOM,K. Industrial Non-DLO：非线状工业柔性件（4 篇）,97,Automating Deformable Gasket Assembly,2024,IEEE CASE,"deformable gasket
pressing into narrow channel",Deep imitation learning policy vs procedural insertion strategies,Vision + teleoperated demonstrations,非常典型的非 cable 工业 DOM；250 条示教、100 次真实试验，也显示 learned policy 并不总胜过结构化算法。,"近期
工业",PENDING_OA_LOOKUP,,,,,,,
DOM,K. Industrial Non-DLO：非线状工业柔性件（4 篇）,98,High-Precision Peg-in-Hole Assembly with Flexible Components Based on Deep Reinforcement Learning,2024,Machines,"dual O-rings / flexible sealing components
high-precision assembly",FEM damage simulation + deep RL assembly path planning,Assembly pose + simulated O-ring deformation/damage,把“柔性件损伤”作为 assembly learning 的核心约束；与普通 rigid peg-in-hole 有本质不同。,"近期
工业",PENDING_OA_LOOKUP,,,,,,,
DOM,K. Industrial Non-DLO：非线状工业柔性件（4 篇）,99,Force-Conditioned Diffusion Policies for Compliant Sheet Separation Tasks in Bimanual Robotic Cells,2025,ICRA,"bonded compliant sheet / battery cover
chiseling + peeling / separation",Human demonstrations + bimanual diffusion policy + real-time force conditioning,Motion capture demonstrations + F/T,很重要的 non-cloth sheet manipulation：直接把实时 force 纳入 diffusion policy 做高精度剥离。,"前沿
工业",PENDING_OA_LOOKUP,,,,,,,
DOM,K. Industrial Non-DLO：非线状工业柔性件（4 篇）,100,LLM-Driven Symbolic Planning and Hierarchical Imitation Learning for Long-Horizon Deformable Object Assembly,2026,Robotics and Computer-Integrated Manufacturing,"round belt / pulley system
long-horizon flexible-belt assembly",VLM state queries + LLM symbolic planning + hierarchical IL / DP3,Multi-view vision + language subgoals + action history,跨入 foundation-model DOM：真实 round-belt assembly，强调 long-horizon、error recovery 和 perturbed initial states。,"前沿
高影响新作",PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,1,Deep Reinforcement Learning for High Precision Assembly Tasks,2017,IROS,Peg-in-hole / precision assembly,Deep Q-learning + RNN,"F/T, robot state",[奠基] 早期高影响的高精度装配RL基线。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,2,Deep Reinforcement Learning of Robotic Precision Insertion Skill Accelerated by Demonstrations,2019,CASE,Precision insertion,DRL + demonstrations,Robot state / force,[高影响] 用示教显著提升稀疏奖励插入学习效率。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,3,Robotic Assembly of Timber Joints Using Reinforcement Learning,2021,Automation in Construction,Timber joint assembly,DDPG,Vision / robot state,[代表] 将RL推进到大尺度真实工业装配。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,4,Reinforcement Learning on Variable Impedance Controller for High-Precision Robotic Assembly,2019,ICRA,High-precision assembly,RL + variable impedance,"Pose, force",[高影响] 经典“学习策略 + 阻抗控制”组合。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,5,Reinforcement Learning-Based Sim-to-Real Impedance Parameter Tuning for Robotic Assembly,2021,ICCAS,Assembly,RL + sim-to-real impedance tuning,Force / pose,[代表] 关注阻抗参数的仿真到真实迁移。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,6,A Learning Framework for High Precision Industrial Assembly,2019,ICRA,Industrial assembly,Guided / residual learning,Force / pose,[高影响] 工业高精装配的重要学习框架。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,7,Reinforcement Learning Strategy Based on Multimodal Representations for High-Precision Assembly Tasks,2021,ICIRA,High-precision assembly,RL + multimodal representation,Vision / force / state,[代表] 将多模态表征纳入装配策略学习。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,8,Stability-Guaranteed Reinforcement Learning for Contact-Rich Manipulation,2021,IEEE RA-L,Assembly / contact-rich,RL + stability constraints,Robot state / contact,[高影响] 强调学习控制的稳定性保证。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,9,Manipulation Skill Acquisition for Robotic Assembly Using Deep Reinforcement Learning,2019,AIM,Robotic assembly,Deep RL,Robot state / contact,[代表] 较早的端到端装配技能获取。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,10,Learning Force Control for Contact-Rich Manipulation Tasks With Rigid Position-Controlled Robots,2020,IEEE RA-L,Insertion / force-sensitive tasks,RL + force/admittance control,6-axis F/T,[高影响] 非常值得精读：学习力控与传统控制结合。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,11,Multiple Peg-in-Hole Compliant Assembly Based on a Learning-Accelerated Deep Deterministic Policy Gradient Strategy,2021,Industrial Robot,Multiple peg-in-hole,DDPG + acceleration,Force / pose,[代表] 从单孔扩展到多孔装配。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,12,A Flexible Manufacturing Assembly System With Deep Reinforcement Learning,2022,Control Engineering Practice,Flexible assembly,Deep RL,Vision / state,[代表] 柔性制造背景中的装配学习。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,13,Proactive Action Visual Residual Reinforcement Learning for Contact-Rich Tasks Using a Torque-Controlled Robot,2021,ICRA,Contact-rich assembly,Visual residual RL,Vision / torque,[高影响] 残差策略与主动动作结合。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,14,Reinforcement Learning Based on Movement Primitives for Contact Tasks,2020,RCIM,Contact tasks,RL + movement primitives,Pose / force,[代表] 用运动基元约束RL动作空间。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,15,Deep Reinforcement Learning for Industrial Insertion Tasks With Visual Inputs and Natural Rewards,2020,IROS,Industrial insertion,Deep RL,Vision / robot state,[高影响] 真实工业插入的重要视觉RL工作。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,16,A Practical Approach to Insertion With Variable Socket Position Using Deep Reinforcement Learning,2019,ICRA,Insertion with socket uncertainty,Deep RL,Robot state / force,[高影响] 经典插入泛化问题：socket位置变化。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,17,Leveraging Demonstrations for Deep Reinforcement Learning on Robotics Problems With Sparse Rewards,2017,arXiv / widely used baseline,Insertion / sparse-reward tasks,DDPGfD,Demonstrations + state,[奠基] 示教增强稀疏奖励RL的经典方法。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,18,Skill Learning for Robotic Insertion Based on One-Shot Demonstration and Reinforcement Learning,2021,International Journal of Automation and Computing,Insertion,One-shot LfD + RL,Pose / force,[代表] 一条示教后再用交互适应。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,19,Combining Learning From Demonstration With Learning by Exploration to Facilitate Contact-Rich Tasks,2021,arXiv,Insertion / contact-rich,LfD + exploration,Robot state / contact,[代表] 示教与探索的混合范式。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,20,Robotic Imitation of Human Assembly Skills Using Hybrid Trajectory and Force Learning,2021,arXiv,Complex assembly,Imitation + force learning,Trajectory + F/T,[代表] 同时学习运动轨迹和力轨迹。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,21,Efficient Insertion Control for Precision Assembly Based on Demonstration Learning and Reinforcement Learning,2021,IEEE TII,Precision insertion,Demonstration + RL,Pose / force,[高影响] 高精装配中的示教+RL经典组合。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,22,Residual Reinforcement Learning for Robot Control,2019,ICRA,Insertion / industrial tasks,Residual RL,State / force,[奠基] contact-rich领域最重要的残差RL基线之一。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,23,Hybrid Trajectory and Force Learning of Complex Assembly Tasks: A Combined Learning Framework,2021,IEEE Access,Complex assembly,Trajectory learning + force learning,Pose + F/T,[代表] 运动与接触力联合学习。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,24,Planning Approximate Exploration Trajectories for Model-Free Reinforcement Learning in Contact-Rich Manipulation,2019,IEEE RA-L,Contact-rich exploration,Exploration planning + model-free RL,Robot state,[高影响] 通过规划改善接触任务RL探索效率。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,25,Learning to Scaffold the Development of Robotic Manipulation Skills,2020,ICRA,Manipulation / assembly,Scaffolded skill learning,Vision / state,[高影响] 利用课程式支架降低复杂技能学习难度。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,26,Feedback Deep Deterministic Policy Gradient With Fuzzy Reward for Robotic Multiple Peg-in-Hole Assembly Tasks,2019,IEEE TII,Multiple peg-in-hole,DDPG + fuzzy reward,Pose / force,[高影响] 多孔装配与reward shaping代表工作。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,27,Fuzzy Logic-Driven Variable Time-Scale Prediction-Based Reinforcement Learning for Robotic Multiple Peg-in-Hole Assembly,2020,IEEE T-ASE,Multiple peg-in-hole,RL + fuzzy logic,Pose / force,[代表] 多孔装配的时尺度与模糊奖励设计。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,28,Variable Compliance Control for Robotic Peg-in-Hole Assembly: A Deep-Reinforcement-Learning Approach,2020,Applied Sciences,Peg-in-hole,DRL + variable compliance,Force / pose,[代表] 直接学习柔顺性以处理卡滞和不确定性。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,29,Towards Real-World Force-Sensitive Robotic Assembly Through Deep Reinforcement Learning in Simulations,2021,AIM,Force-sensitive assembly,DRL + sim-to-real,Force / robot state,[代表] 关注真实力敏感装配的仿真训练。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,30,Learning Robotic Assembly From CAD,2018,ICRA,Assembly from CAD,Model-based RL / iLQG,CAD geometry + state,[奠基] 将CAD先验与学习装配结合。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,31,Making Sense of Vision and Touch: Learning Multimodal Representations for Contact-Rich Tasks,2020,IEEE T-RO,Contact-rich assembly,Multimodal representation learning,Vision + touch,[奠基] 视觉-触觉表征学习的经典工作。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,32,Learning Dense Rewards for Contact-Rich Manipulation Tasks,2021,ICRA,Assembly / contact-rich,Learned reward,Demonstrations / state,[高影响] 避免手工reward shaping，contact-rich很有代表性。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,33,Deep Reinforcement Learning for Robotic Control in High-Dexterity Assembly Tasks—A Reward Curriculum Approach,2021,IRC,High-dexterity assembly,PPO + reward curriculum,State / force,[代表] reward curriculum在高难装配中的使用。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,34,Learning Variable Impedance Control via Inverse Reinforcement Learning for Force-Related Tasks,2021,IEEE RA-L,Peg-in-hole / cup-on-plate,IRL + variable impedance,Force / pose,[高影响] 从专家示教恢复阻抗策略和reward。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,35,Model Accelerated Reinforcement Learning for High Precision Robotic Assembly,2020,International Journal of Intelligent Robotics and Applications,High-precision assembly,Model-based accelerated RL,State / force,[代表] 利用模型提高高精装配采样效率。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,36,Trans-AM: Transfer Learning by Aggregating Dynamics Models for Soft Robotic Assembly,2021,ICRA,Soft robotic assembly,Transfer learning + dynamics models,State / contact,[高影响] 接触动力学跨任务迁移。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,37,Transferable Force-Torque Dynamics Model for Peg-in-Hole Task,2019,arXiv,Peg-in-hole,Learned F/T dynamics model,6-axis F/T,[代表] 把F/T动态模型作为可迁移技能表征。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,38,Deep Reinforcement Learning for Contact-Rich Skills Using Compliant Movement Primitives,2020,arXiv,Insertion / contact-rich,RL + compliant primitives,Pose / force,[代表] 用柔顺运动基元缩小探索空间。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,39,Residual Learning From Demonstration: Adapting DMPs for Contact-Rich Manipulation,2022,IEEE RA-L / ICRA,Peg / gear / plug insertion,DMP + residual RL,Pose / contact,[高影响] 插入泛化、不同几何/摩擦适应的重要论文。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,40,Learning Insertion Primitives With Discrete-Continuous Hybrid Action Space for Robotic Assembly Tasks,2022,ICRA,Insertion,Hybrid discrete-continuous RL,Pose / force,[高影响] 将动作类别和连续参数联合建模。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,41,Meta-Reinforcement Learning for Robotic Industrial Insertion Tasks,2020,IROS,Industrial insertion,Meta-RL,State / force,[高影响] 面向不同插入实例的快速适应。,,PENDING_OA_LOOKUP,,,,,,,
Contact_Rich,A. 精密装配与插入（Assembly / Insertion）,42,Industrial Insert Robotic Assembly Based on Model-Based Meta-Reinforcement Learning,2021,ROBIO,Industrial insertion,Model-based meta-RL,State / force,[代表] 模型与meta-RL结合。,,PENDING_OA_LOOKUP,,,,,,,
